prot_dim,fp_dim,gconv_dim,hdims,disc_hdims,kaiming_constant,weighted_loss,dprob,disc_dprob,neigh_dist,tr_batch_size,val_batch_size,test_batch_size,optimizer_gen,optimizer_gen__global__weight_decay,optimizer_gen__global__lr,optimizer_gen__adadelta__rho,optimizer_disc,optimizer_disc__global__weight_decay,optimizer_disc__global__lr,score
8421,1024,128,"[653, 3635]",665,5,0.17569494927409202,0.096421,0.24519429118923516,14,256,512,512,adadelta,0.004665,0.04158,0.115873,adagrad,0.00576804596075596,0.00021622501616825465,0.30654576517561344
8421,1024,128,"[653, 3635]","[297, 427]",5,0.7160985854223696,0.096421,0.2647180796365379,11,256,512,512,adadelta,0.004665,0.04158,0.115873,adam,0.0033166439945024784,0.015727091376757683,0.30246250962734067
8421,1024,128,"[653, 3635]","[724, 561]",5,0.2912514228764475,0.096421,0.13704442897802277,10,256,512,512,adadelta,0.004665,0.04158,0.115873,adadelta,0.054081864247936,0.46429573574730165,0.29967719198139864
8421,1024,128,"[653, 3635]",407,5,0.7402344446250867,0.096421,0.034324770611691695,12,256,512,512,adadelta,0.004665,0.04158,0.115873,adam,0.22295190518491748,0.0012079769807718992,0.2738731360965161
8421,1024,128,"[653, 3635]","[485, 368]",5,0.3105165675252901,0.096421,0.3024076556840653,10,256,512,512,adadelta,0.004665,0.04158,0.115873,adadelta,0.04158007131634749,0.003127560411392145,0.26270041477541944
8421,1024,128,"[653, 3635]","[486, 722]",5,0.5237816870668195,0.096421,0.0959926247515687,17,256,512,512,adadelta,0.004665,0.04158,0.115873,adadelta,0.02083421723132108,0.00036291343876698886,0.22743807199889238
8421,1024,128,"[653, 3635]",546,5,0.27343912950177024,0.096421,0.31848280352350955,12,256,512,512,adadelta,0.004665,0.04158,0.115873,adamax,0.0013514865791745205,0.005415928932235243,0.09343899636100132
8421,1024,128,"[653, 3635]","[258, 383]",5,0.7782320202800654,0.096421,0.022944181326704147,12,256,512,512,adadelta,0.004665,0.04158,0.115873,adam,0.012120135490553928,0.00043691783475334044,0.03544082190500121
8421,1024,128,"[653, 3635]",989,5,0.598417711409478,0.096421,0.011375327528121482,8,256,512,512,adadelta,0.004665,0.04158,0.115873,sgd,0.00020339764639159505,0.3626292221724209,-0.07533510977700142
8421,1024,128,"[653, 3635]","[995, 529]",5,0.20411903630400277,0.096421,0.10337336068341302,9,256,512,512,adadelta,0.004665,0.04158,0.115873,adamax,0.0002717497684698542,0.011133170743477238,-0.28031827198814635
